sample_id,label,n_events,n_nodes,n_edges,build_time_s,peak_memory_kb
0c0021263bce5a23ec9dc12eaed7f846ae0ac3483d19f1f57a9b77a0dad9b6bf,Emotet,61,28,61,0.000083,
0c02bee8b6c570a93796855e956372632749554553d2cacb80e88f2ba6328e6a,Trickbot,43,36,43,0.000089,
0c09972bcffcab7e64f732a7e78bd0b6d509820498c1a093a490a7f270d073b4,Emotet,314,191,314,0.000481,
0c09edeb2104b444256d5ff36c368886c0f0adac5308303bf6c9fd7f454b9f64,Emotet,466,323,466,0.000756,
0c09fb3f72aa9b84973c089c5119ebbd9da423506c56480a391e770844cea2a8,Trickbot,121,95,121,0.000212,
0c2e33ce2fc54e565f583e7e50153a0190adfb3dde092c1841be5feecc662e42,Emotet,268,184,268,0.000427,54
0c319e55abb6741605daf245ec77bbf9745a5a87f11b900f54ad142a3bf90116,Trickbot,19,18,19,0.000039,
0c4d3aefb88c82027caa000595dd5c4d0d332970839044bb76b1ee699f80b5b2,Emotet,1078,982,1078,0.002079,
0c5b662ff06825efa19269a88428f523775e71d8b9981c69693832a08c1bed50,Trickbot,1932,1286,1932,0.003197,
0c62801d68ff4e9e84743d8754fc7cba60ccad9b608bc282375131b9e2966d9b,Emotet,1058,975,1058,0.002166,
0c6cbb9e5c410505c7cd3faf8955dc39cc7441c51e9f86f351a6d1539660b5df,Trickbot,74,61,74,0.000146,
0c815317a0fa3c2745cbb0a129503c6f7ec1227493c98b660bd1126911c7fba3,Trickbot,99,84,99,0.000142,
0c8442b33267505ff9538b0737d62f3be00ef8c2a025896154abb5c8ce5e201a,Trickbot,1205,750,1205,0.001780,
0ca15c5ec777097024a9942c575233d97ac3e02a314e946bd9c9a49a8a119a52,Emotet,60,31,60,0.000082,
0cdf038a1b945b10b4eb963348fa0268bcb2ac655b08cd30c6ad6f170eb9490b,Trickbot,23,17,23,0.000046,
0cfe9ad8e551edcfaeb0a76bd72e076e271e54cdd0e4da89a0f075555ab311e9,Trickbot,19,18,19,0.000035,5
0cff76bd310eae9a3337900b7b6ce1ffe8540e8988b8301424544745791b4d68,Trickbot,8,8,8,0.000029,
0d0b649ab480b91210623c53f1c8e8d28909714f72b72527c57cad9968fb19d7,Trickbot,60,48,60,0.000089,
0d172f2c0169c54009717e86a23dd463085dc5421e88b1a5aad43449d1647be8,Trickbot,97,19,97,0.000149,
0d24c3d00ba0bd68e46861341c566cc6622cdabf4b1f2e244a7aef217a75f1f6,Trickbot,76,66,76,0.000142,
0d309f24b9a5dba451b57887d2e6717d62747c265d4580d35efb4e79f41c9ef0,Emotet,39,25,39,0.000059,
0d3c74b3c693ad2bf1e3194110e47f0c1d53f3be4e699820542eac319a6caed4,Trickbot,6132,46,6132,0.007565,
0d694b4472413938604c91fd8368bb508598824caa89d65af276e31900bdc6c1,Emotet,334,202,334,0.000511,
0d750f45dce2a32e75b9fe67e68444f3a55cb95d949ed6181dbe7668de7b2fa4,Emotet,293,197,293,0.000462,
0d78ee45682cc5ed1acece55c5ff1197b417dbfa190681a3db55dcf510478b54,Emotet,1094,982,1094,0.002277,
0d7a4650cdc13d9217edb05f5b5c2c5528f8984dbbe3fbc85f4a48ae51846cc3,Emotet,182,142,182,0.000312,38
0d7d9d7399318978066f692edc9977333f626b11bc00271a1704f55e08616ed1,Trickbot,47,39,47,0.000099,
0d8c7f022c445c4e7f46d423b44eac6024c659c983ce0cc7303242eb97f8d464,Trickbot,8,8,8,0.000022,
0d9a47d8c8a6270ad6cd31b5ea8ec4bf644b43d96257475a43ba9c53ed6a2311,Emotet,342,236,342,0.000543,
0da69851c57622c2f84229ced12f49c61186ae35ae73c14f359b343d2127a294,Emotet,258,181,258,0.000381,
0de225438a715dfde355d691e6ffa8c29cde3ab6c00588c197340e31de3f450e,Emotet,55,34,55,0.000093,
0deb9201c43d5f136119ec4cbe3cf803ad8234ab6673fa706fe20b9c67f71529,Emotet,172,139,172,0.000265,
0e06094c2520996e3b257027efa8d166bf5858f532a74df1771c3e89196124a4,Emotet,346,201,346,0.000471,
0e1a9002c9adf4ae6547a29ecfbf4da900bbabe2ac61eb3ddd24361f162a8907,Trickbot,159,71,159,0.000237,
0e206ef49cb9df870dcf26ce9c6ad3ab51481bc23a479a7f05e3085f675cf887,Emotet,37,23,37,0.000054,
0e2215c3eea0615109fb4711db157ac8b1656f64e07e57dca013047d03c14ea5,Trickbot,2725,1854,2725,0.005397,640
0e3492848bc88265739b54206ae92ea9f5da66af050917137022ad840fdb68d1,Trickbot,1173,758,1173,0.001766,
0e3cb40bc06fa7ec9da4eb4c7bb4211da58a77231eb6571fd6b5fa3f53f1be37,Emotet,307,202,307,0.000473,
0e56e0990b0137f7295498d7d56546be69ab9b1c94f368ac6c178fb564e1e212,Emotet,253,155,253,0.000327,
0e5b3878f677933d331672f392d84ae809c773b7310097f0d4d960df1be1b627,Trickbot,58,41,58,0.000088,
0e7b57ec08be9151fd2295b90844d998c1076a155a431fa3617fe4f674fce8f9,Trickbot,1496,914,1496,0.002342,
0e8e26c0d8768a7f745a60af067280469f806de824ef200b4a0344addc25c3bc,Emotet,155,89,155,0.000203,
0e9313474b82ae11823c23387d8142969333be4bc717e331de4eb1f05f1e8227,Trickbot,1897,1220,1897,0.003320,
0ecf363a984e854e94b68f0acb6ce86a6c44c4278cf52557c59cd6e05cc84c43,Emotet,300,190,300,0.000406,
0ed005524dfbfcf8deb1b030898d5ab53ea57a52bc116a38e26b04e34eea3bfe,Emotet,278,198,278,0.000382,
0ed1adc2b91ef01a0175c73a04b2d3667516251861f4ed6a6a431aee6d6709d6,Trickbot,75,55,75,0.000135,16
0ed22786eed3f3307f37f0a9bcd8211bc55b852ceb55258a3f62f4b51ffa0f71,Trickbot,53,39,53,0.000074,
0edda7572af898e7f20bb023fdcb96c5db6c743d1dd5d895a2ef3150339e144e,Emotet,55,28,55,0.000087,
0ee75d4db2337e9662ce7f5e09fec6485d5775bb7ee7d74e611f5865968cf715,Trickbot,62,50,62,0.000089,
0ef7a43948109bd5d7bd37f01bfb6480090d2b2bdd6f4ee811dc9462fb33e71f,Trickbot,60,49,60,0.000114,
0efcceb30576155031714d51d32b44e9c078d8d529303dfb9143544f1218a2ea,Trickbot,1893,1238,1893,0.003126,
0f00d75d1510b18f008dc4ecac39024b6a870cf924043dec8c93f1d881efff97,Emotet,1075,981,1075,0.001706,
0f05b1137795a2288c108334bef1ca958f14c1566f204fea938033c71af7a6dd,Trickbot,109,85,109,0.000158,
0f1d7992d4121a295689577d89bf7b79110799f453935d6f08666f979f8aea91,Trickbot,18,18,18,0.000043,
0f48e73030163ecffd9cda9f7c3c8782c67a060e89655b958b79c64418b0c382,Trickbot,79,69,79,0.000115,
0f53b5c0548d0d9e57f7f06a43f85d5fc8db82cd31998bc5fe46fe231e022022,Trickbot,19,18,19,0.000038,5
0f5c66834ee22fdda6e34de96c44e701e55f0fef8b25acebe3c2720ed09dcc71,Trickbot,28,21,28,0.000045,
0f5ef6c666c70f65cb7b517337c8d848123d89f85ce8fec7b2ff55d5e53c019f,Emotet,278,153,278,0.000364,
0f64b43ecc5afdbddefbbe7ba45722cded15748fc5f5e81c018937de724e6d38,Trickbot,1903,1241,1903,0.003316,
0f6fd08010ef3646b5e1b9b153cbecd25fc2feeb25abe838f990a1622f311dc6,Trickbot,42,35,42,0.000082,
0f70308984aa436002a880dc884cd937853e026a548dad95337e6a99fbe1635e,Emotet,173,136,173,0.000299,
0f7a3bc462fcfe23b462939b26a8bf4de6ea0041eac3ce3135bfde64b4692f70,Trickbot,2629,1807,2629,0.005127,
0f82e5587f88e4f44d89eb70476aa44c902a9cd6097d025988b3c5aa502776df,Trickbot,44,36,44,0.000078,
0fa01b77f41ae8552988949ccbf4970f82956ba75ce3af98bf58404f66ad1fc3,Trickbot,1879,1227,1879,0.003070,
